rankdate	announceddate	effectivedate	effectiveunconddate	withdrawndate	targfindate	targetname	targetbusdescpt	tarprimsiccode	tarindustrysector	hightechindustry	targetstate	targetnation	acquirorname	Acquirorbusidespt	acqindustrysector	acqprimsiccode	hightechindustry	acquirorstate	acquirornation	synopsis	histfilevent	status	pctshsacq	pctownedafter	pctsought	valueoftransaction	targnetdebtrankval	enterprisevalue	equityvalue	pricepershare	targnetsalesltm	ebitlast12months	pretaxinclast12month	netincomelast12month	targnetassets	targtotalassets	targtebitdatltm	targbvpersh	targetcommonequity	targpsltm	offerpricetoeps	targetadvisors	targtotalfees	acquiroradvisors	acquirortotalfees	targandacqfinanadvtotfees	targshspri1dprior	targshspri1wkprior	targshspri4wkprior	acquirorcusip	targetcusip	targticker	targsedol	acquirorticker	announced_date	dealnumber	reltdealnumber	transactioncompadealno	rltdealcode	rltdaelno	competingdealcode
																				Partners LP acquired	completed																																				2663261116.00				
																				"AccentCare Inc, an Irvine-"																																									
																				based provider of home health																																									
																				"care services, in a leveraged"																																									
																				buyout transaction.																																									
1/1/2010	1/1/2010	1/5/2010	1/5/2010			ASAT Ltd	Pvd semiconductor testing svcs	8734.00	Business Services	Semiconductors	Foreign	Hong Kong	United Test & Assembly Center	Pvd semiconductor testing svcs	Business Services	8734.00	Semiconductors	Foreign	Singapore	HONG KONG - United Test &	Acquisition agreement is	Completed	100	100	100	44.644	44.644	44.644	44.644													Macquarie Bank		RBS						91271X	01511Z			N/A	1/1/2010	2143424040.00					
																	Precision/Measuring Test Equip			Assembly Center Ltd of	disclosed																																								
																				"Singapore, a wholly-owned"	Acquisition is completed																																								
																				unit of Global AT&T																																									
																				"Electronics Ltd, acquired"																																									
																				"ASAT Ltd, a provider of"																																									
																				semiconductor testing																																									
																				"services, from ASAT Holdings"																																									
																				"Ltd, for HKD 346.161 mil (USD"																																									
																				44.644 mil).																																									
1/1/2010	1/1/2010	1/1/2010	1/1/2010		12/31/2009	Albro Technologies SARL	"Mnfr,whl granulators"	3559.00	Machinery	Primary Business not Hi-Tech	Foreign	France	Rapid Granulator AB	Manufacture granulators	Machinery	3559.00	Primary Business not Hi-Tech	Foreign	Sweden	FRANCE - Rapid Granulator AB	Acquisition is completed	Completed	80	80	80						2.572	-0.162		-0.2																76339X	01518X				1/1/2010	2191591040.00					
																				"of Sweden, a unit of"																																									
																				Sewickley Capital Inc of the																																									
																				"US, acquired the remaining"																																									
																				"80% interest, which it did"																																									
																				"not already own, in Albro"																																									
																				"Technologies SARL, a Marennes-"																																									
																				based manufacturer and																																									
																				wholesaler of granulators.																																									
1/1/2010	1/1/2010	1/1/2010	1/1/2010		12/31/2008	AVE Industries SpA	"Provide bottling,pkg services"	3221.00	"Stone, Clay, Glass, and Concrete Products"	Primary Business not Hi-Tech	Foreign	Italy	Della Toffola SpA	Produce wine	Food and Kindred Products	2084.00	Primary Business not Hi-Tech	Foreign	Italy	ITALY - Della Toffola SpA	Acquisiton is completed	Completed	100	100	100						0.014					0.2														24702L	01526K				1/1/2010	2204349040.00					
																				"acquired AVE Industries SpA,"																																									
																				a Venice-based provider of																																									
																				bottling and packaging																																									
																				services. Consequently to the																																									
																				"transaction, AVE Industries"																																									
																				SpA changed its name in AVE																																									
																				Technology SpA.																																									
1/1/2010	1/1/2010	1/1/2010	1/1/2010			API Sec Pty Ltd-Architectural	Mnfr hardware products	3499.00	Metal and Metal Products	Primary Business not Hi-Tech	Foreign	Australia	Access Hardware Pty Ltd	"Whl,door hardware,washroom"	Wholesale Trade-Durable Goods	5072.00	Primary Business not Hi-Tech	Foreign	Australia	AUSTRALIA - Access Hardware	Acquisition is completed	Completed	100	100	100																			Deloitte & Touche						48819N	01578M				1/1/2010	2195207040.00					
																				Pty Ltd acquired the																																									
																				architectural door hardware																																									
																				"of API Security Pty Ltd, a"																																									
																				New South Whales-based																																									
																				manufacturer of security																																									
																				"safes, vault doors and"																																									
